######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      0.8725521
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
  0.9476146      1.5396207      0.5899458      -1.5938386   2.0314e-01  0.96598       RM     
  0.9375776      -0.0100371     0.5899458      -1.5938386   2.0314e-01  0.95609       AF     
  1.1743114      0.2367338      0.5899458      -0.2501692   7.7867e-01  0.94629       AM     
  1.2768906      0.1025792      0.5899458      -0.1095228   8.9626e-01  0.93660       AM     
  0.8557676      -0.4211230     0.5899458      -0.1095228   8.9626e-01  0.92701       AF     
  1.0410439      0.1852763      0.5899458      -0.2019333   8.1715e-01  0.91751       AM     
  1.2517617      0.2107178      0.5899458      -0.2320389   7.9292e-01  0.90811       AM     
  1.6255935      0.3738318      0.5899458      -0.4159177   6.5973e-01  0.89881       AM     
  1.9521928      0.3265993      0.5899458      -0.3671282   6.9272e-01  0.88961       AM     
  1.7389196      -0.2132732     0.5899458      -0.3671282   6.9272e-01  0.88049       AF     
  1.2312771      -0.5076425     0.5899458      -0.3671282   6.9272e-01  0.87147       AF     
  0.8080730      -0.4232042     0.5899458      -0.3671282   6.9272e-01  0.86255       AF     
  0.8029308      -0.0051422     0.5899458      -0.3671282   6.9272e-01  0.85371       AF     
  1.2300176      0.4270868      0.5899458      -0.5054478   6.0324e-01  0.84497       AM     
  1.2300176      0.6202890      0.5899458      -0.7416956   4.7631e-01  0.83631       RM     
  0.7383580      -0.4916596     0.5899458      -0.7416956   4.7631e-01  0.82775       AF     
  2.0568703      1.3185123      0.5899458      -1.6093807   2.0001e-01  0.81927       AM     
  0.8093144      -1.2475559     0.5899458      -1.6093807   2.0001e-01  0.81087       AF     
  1.0958333      0.2865188      0.5899458      -0.3570021   6.9977e-01  0.80257       AM     
  1.3917998      0.2959665      0.5899458      -0.3725904   6.8895e-01  0.79435       AM     
  1.6250523      0.2332525      0.5899458      -0.2966791   7.4328e-01  0.78621       AM     
  1.8190184      0.1939662      0.5899458      -0.2492632   7.7937e-01  0.77816       AM     
  0.5916580      -1.2273604     0.5899458      -0.2492632   7.7937e-01  0.77019       AF     
  1.0065182      0.4148602      0.5899458      -0.5442230   5.8029e-01  0.76230       AM     
  1.0065182      0.8005966      0.5899458      -1.0611099   3.4607e-01  0.75449       RM     
  0.8295742      -0.1769440     0.5899458      -1.0611099   3.4607e-01  0.74676       AF     
  0.8295742      0.9703381      0.5899458      -1.3128427   2.6905e-01  0.73911       RM     
  0.8435723      0.0139981      0.5899458      -0.0191351   9.8105e-01  0.73154       AM     
  0.8435723      0.2423542      0.5899458      -0.3347211   7.1554e-01  0.72405       RM     
  0.9120891      0.0685168      0.5899458      -0.0956095   9.0882e-01  0.71663       AM     
  0.7838967      -0.1281924     0.5899458      -0.0956095   9.0882e-01  0.70929       AF     
  1.5358262      0.7519296      0.5899458      -1.0710858   3.4264e-01  0.70203       AM     
  0.8263566      -0.7094696     0.5899458      -1.0710858   3.4264e-01  0.69483       AF     
  0.8251616      -0.0011950     0.5899458      -1.0710858   3.4264e-01  0.68772       AF     
  0.8106797      -0.0144819     0.5899458      -1.0710858   3.4264e-01  0.68067       AF     
  1.3407828      0.5301031      0.5899458      -0.7868527   4.5528e-01  0.67370       AM     
  0.9262014      -0.4145813     0.5899458      -0.7868527   4.5528e-01  0.66680       AF     
  0.9262014      0.4118649      0.5899458      -0.6240666   5.3576e-01  0.65997       RM     
  0.8485981      -0.0776033     0.5899458      -0.6240666   5.3576e-01  0.65321       AF     
  0.7247544      -0.1238437     0.5899458      -0.6240666   5.3576e-01  0.64652       AF     
  1.0931221      0.3683677      0.5899458      -0.5756681   5.6233e-01  0.63990       AM     
  1.0931221      0.4843820      0.5899458      -0.7648039   4.6543e-01  0.63334       RM     
  0.6498229      -0.4432992     0.5899458      -0.7648039   4.6543e-01  0.62685       AF     
  0.7893207      0.1394978      0.5899458      -0.2248394   7.9864e-01  0.62043       AM     
  0.7175987      -0.0717220     0.5899458      -0.2248394   7.9864e-01  0.61408       AF     
  0.7175987      0.6561745      0.5899458      -1.0796114   3.3973e-01  0.60779       RM     
  0.8979412      0.1803425      0.5899458      -0.2997904   7.4097e-01  0.60156       AM     
  0.8979412      1.0394996      0.5899458      -1.7458843   1.7449e-01  0.59540       RM     
  1.0568406      0.1588994      0.5899458      -0.2696404   7.6365e-01  0.58930       AM     
  0.7659997      -0.2908409     0.5899458      -0.2696404   7.6365e-01  0.58326       AF     
  0.7659997      1.8976157      0.5899458      -3.2871073   3.7362e-02  0.57729       RM     
  0.7659997      0.3207183      0.5899458      -0.5613075   5.7046e-01  0.57138       RM     
  0.7659997      0.6550807      0.5899458      -1.1583597   3.1400e-01  0.56552       RM     
  0.9380297      0.1720299      0.5899458      -0.3073436   7.3540e-01  0.55973       AM     
  0.9380297      0.4629295      0.5899458      -0.8356155   4.3361e-01  0.55400       RM     
  0.7194188      -0.2186109     0.5899458      -0.8356155   4.3361e-01  0.54832       AF     
  0.6608512      -0.0585676     0.5899458      -0.8356155   4.3361e-01  0.54271       AF     
  0.6608512      0.2628616      0.5899458      -0.4893655   6.1302e-01  0.53715       RM     
  0.6608512      0.3018108      0.5899458      -0.5676915   5.6683e-01  0.53165       RM     
  0.6608512      0.4734002      0.5899458      -0.8996582   4.0671e-01  0.52620       RM     
  0.6608512      1.4832101      0.5899458      -2.8478906   5.7966e-02  0.52081       RM     
  0.6608512      0.6499241      0.5899458      -1.2608250   2.8342e-01  0.51548       RM     
  0.6608512      1.7865250      0.5899458      -3.5016500   3.0148e-02  0.51020       RM     
  0.6608512      0.5300474      0.5899458      -1.0496629   3.5006e-01  0.50497       RM     
  0.6608512      1.3827764      0.5899458      -2.7666778   6.2871e-02  0.49980       RM     
  0.6608512      0.1894244      0.5899458      -0.3829252   6.8186e-01  0.49468       RM     
  1.8109410      1.1500898      0.5899458      -2.3489912   9.5465e-02  0.48961       AM     
  1.3263839      -0.4845571     0.5899458      -2.3489912   9.5465e-02  0.48459       AF     
  0.8763817      -0.4500022     0.5899458      -2.3489912   9.5465e-02  0.47963       AF     
  0.7938001      -0.0825816     0.5899458      -2.3489912   9.5465e-02  0.47472       AF     
  0.7938001      0.3249056      0.5899458      -0.6915011   5.0082e-01  0.46986       RM     
